Paula painted a cake in a closet .	Paula ( 34 ) ; cake ( 51 ) ; closet ( 39 ) ; paint ( 24 ) AND agent ( 24 , 34 ) AND theme ( 24 , 51 ) AND nmod . in ( 51 , 39 )	prim_to_subj_proper
Zoe thought that a hippo cleaned .	Zoe ( 41 ) ; hippo ( 53 ) ; think ( 44 ) AND agent ( 44 , 41 ) AND ccomp ( 44 , 43 ) AND clean ( 43 ) AND agent ( 43 , 53 )	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
The princess teleported a cookie to the goose .	* princess ( 33 ) ; cookie ( 41 ) ; * goose ( 30 ) ; teleport ( 31 ) AND agent ( 31 , 33 ) AND theme ( 31 , 41 ) AND recipient ( 31 , 30 )	do_dative_to_pp_dative
A cockroach gave a pretzel to Olivia .	cockroach ( 14 ) ; pretzel ( 28 ) ; Olivia ( 5 ) ; give ( 2 ) AND agent ( 2 , 14 ) AND theme ( 2 , 28 ) AND recipient ( 2 , 5 )	obj_to_subj_common
The girl hoped that the hippo painted .	* girl ( 56 ) ; * hippo ( 17 ) ; hope ( 2 ) AND agent ( 2 , 56 ) AND ccomp ( 2 , 53 ) AND paint ( 53 ) AND agent ( 53 , 17 )	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
Emma declared that a cobra grew .	Emma ( 47 ) ; cobra ( 50 ) ; declare ( 16 ) AND agent ( 16 , 47 ) AND ccomp ( 16 , 38 ) AND grow ( 38 ) AND theme ( 38 , 50 )	only_seen_as_transitive_subj_as_unacc_subj
William tolerated that Charlie fed the cake on the stage to the boy .	William ( 22 ) ; Charlie ( 28 ) ; * cake ( 53 ) ; * stage ( 19 ) ; * boy ( 36 ) ; tolerate ( 12 ) AND agent ( 12 , 22 ) AND ccomp ( 12 , 43 ) AND feed ( 43 ) AND agent ( 43 , 28 ) AND theme ( 43 , 53 ) AND recipient ( 43 , 36 ) AND nmod . on ( 53 , 19 )	obj_to_subj_proper
Paula promised a chair beside the computer to Emma .	Paula ( 32 ) ; chair ( 39 ) ; * computer ( 51 ) ; Emma ( 2 ) ; promise ( 20 ) AND agent ( 20 , 32 ) AND theme ( 20 , 39 ) AND recipient ( 20 , 2 ) AND nmod . beside ( 39 , 51 )	prim_to_subj_proper
Charlie loaned the cake in a house to the girl .	Charlie ( 3 ) ; * cake ( 13 ) ; house ( 25 ) ; * girl ( 43 ) ; loan ( 10 ) AND agent ( 10 , 3 ) AND theme ( 10 , 13 ) AND recipient ( 10 , 43 ) AND nmod . in ( 13 , 25 )	obj_to_subj_proper
James rolled Paula .	James ( 59 ) ; Paula ( 10 ) ; roll ( 12 ) AND agent ( 12 , 59 ) AND theme ( 12 , 10 )	prim_to_obj_proper
Jaxon squeezed the cookie in the bucket .	Jaxon ( 12 ) ; * cookie ( 45 ) ; * bucket ( 49 ) ; squeeze ( 8 ) AND agent ( 8 , 12 ) AND theme ( 8 , 45 ) AND nmod . in ( 45 , 49 )	passive_to_active
A shark gave the plate in a bottle to the girl .	shark ( 21 ) ; * plate ( 54 ) ; bottle ( 9 ) ; * girl ( 20 ) ; give ( 32 ) AND agent ( 32 , 21 ) AND theme ( 32 , 54 ) AND recipient ( 32 , 20 ) AND nmod . in ( 54 , 9 )	prim_to_subj_common
The cockroach loaned Liam the donut .	* cockroach ( 48 ) ; Liam ( 47 ) ; * donut ( 54 ) ; loan ( 41 ) AND agent ( 41 , 48 ) AND recipient ( 41 , 47 ) AND theme ( 41 , 54 )	obj_to_subj_common
The girl shipped the cat the brush beside a machine .	* girl ( 32 ) ; * cat ( 21 ) ; * brush ( 11 ) ; machine ( 13 ) ; ship ( 6 ) AND agent ( 6 , 32 ) AND recipient ( 6 , 21 ) AND theme ( 6 , 11 ) AND nmod . beside ( 11 , 13 )	pp_dative_to_do_dative
Noah shipped Olivia a chair on a bed .	Noah ( 12 ) ; Olivia ( 11 ) ; chair ( 5 ) ; bed ( 19 ) ; ship ( 28 ) AND agent ( 28 , 12 ) AND recipient ( 28 , 11 ) AND theme ( 28 , 5 ) AND nmod . on ( 5 , 19 )	pp_dative_to_do_dative
The governor teleported a cake in a cabinet to Logan .	* governor ( 8 ) ; cake ( 50 ) ; cabinet ( 59 ) ; Logan ( 17 ) ; teleport ( 51 ) AND agent ( 51 , 8 ) AND theme ( 51 , 50 ) AND recipient ( 51 , 17 ) AND nmod . in ( 50 , 59 )	do_dative_to_pp_dative
A poet baked the cake .	poet ( 14 ) ; * cake ( 5 ) ; bake ( 23 ) AND agent ( 23 , 14 ) AND theme ( 23 , 5 )	obj_omitted_transitive_to_transitive
Emma supported that the hippo smirked .	Emma ( 41 ) ; * hippo ( 12 ) ; support ( 30 ) AND agent ( 30 , 41 ) AND ccomp ( 30 , 15 ) AND smirk ( 15 ) AND agent ( 15 , 12 )	only_seen_as_unacc_subj_as_unerg_subj
The boy needed to crawl .	* boy ( 20 ) ; need ( 40 ) AND agent ( 40 , 20 ) AND xcomp ( 40 , 36 ) AND crawl ( 36 ) AND agent ( 36 , 20 )	prim_to_inf_arg
Charlie gave a spoon to Liam .	Charlie ( 24 ) ; spoon ( 35 ) ; Liam ( 37 ) ; give ( 38 ) AND agent ( 38 , 24 ) AND theme ( 38 , 35 ) AND recipient ( 38 , 37 )	obj_to_subj_proper
Emma wired Paula to Sophia .	Emma ( 5 ) ; Paula ( 2 ) ; Sophia ( 30 ) ; wire ( 0 ) AND agent ( 0 , 5 ) AND theme ( 0 , 2 ) AND recipient ( 0 , 30 )	prim_to_obj_proper
The crocodile shipped the boy a raisin .	* crocodile ( 7 ) ; * boy ( 37 ) ; raisin ( 14 ) ; ship ( 32 ) AND agent ( 32 , 7 ) AND recipient ( 32 , 37 ) AND theme ( 32 , 14 )	pp_dative_to_do_dative
